,Data,Partida,Chegada,Tempo,Tipo,Preco
0,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 09:15,SDU - 10:25,01:10,Direto,"R$ 1.001,84"
1,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 08:40,SDU - 09:50,01:10,Direto,"R$ 1.001,84"
2,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 07:30,SDU - 08:40,01:10,Direto,"R$ 1.001,84"
3,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 10:00,SDU - 11:05,01:05,Direto,"R$ 2.391,01"
4,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 18:25,SDU - 19:30,01:05,Direto,"R$ 2.393,01"
5,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 17:35,SDU - 18:40,01:05,Direto,"R$ 2.393,01"
6,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 16:45,SDU - 17:50,01:05,Direto,"R$ 2.393,01"
7,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 16:15,SDU - 17:20,01:05,Direto,"R$ 2.393,01"
8,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 15:10,SDU - 16:15,01:05,Direto,"R$ 2.393,01"
9,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 14:00,SDU - 15:05,01:05,Direto,"R$ 2.393,01"
10,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 13:00,SDU - 14:05,01:05,Direto,"R$ 2.393,01"
11,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 12:15,SDU - 13:20,01:05,Direto,"R$ 2.393,01"
12,"DOMINGO, 17/11
- A PARTIR DE R$ 1.001,84",CGH - 11:15,SDU - 12:20,01:05,Direto,"R$ 2.393,01"
